Book,Movie,wikiMovieYear,isAdult,startYear,runtimeMinutes,genres,genre_1,genre_2,genre_3,averageRating,numVotes,wikiBookAuthor,goodreadsentrytitle,goodreadsentryauthor,goodreads_rating,goodreads_numratings,wmrank,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,release_date,production_budget,domestic_gross,worldwide_gross,book_year,book_movie_years,ROI,name_match,contains_series
"The Hundred and One Dalmatians (1956), Dodie Smith",102 Dalmatians (2000),2000,0,2000,100,"Adventure,Comedy,Family",Adventure,Comedy,Family,4.9,41244,Dodie Smith,NA,NA,4.12,37187,NA,NA,NA,NA,NA,NA,NA,"Nov 22, 2000",85000000,66941559,66941559,1956,44,-0.21245224705882354,FALSE,FALSE
"Twenty Thousand Leagues Under the Seas (French: Vingt mille lieues sous les mers) (1870), Jules Verne","20,000 Leagues Under the Sea (1916)",1916,0,1916,105,"Action,Adventure,Sci-Fi",Action,Adventure,Sci-Fi,6.1,2178,Jules Verne,NA,NA,3.89,255762,NA,NA,NA,NA,NA,NA,NA,"Dec 24, 1916",200000,8000000,8000000,1870,46,39,FALSE,FALSE
"Twenty Thousand Leagues Under the Seas (French: Vingt mille lieues sous les mers) (1870), Jules Verne","20,000 Leagues Under the Sea (1954)",1954,0,1954,127,"Adventure,Drama,Family",Adventure,Drama,Family,7.2,39590,Jules Verne,NA,NA,3.89,255762,NA,NA,NA,NA,NA,NA,NA,"Dec 23, 1954",5000000,28200000,28200000,1870,84,4.64,FALSE,FALSE
"The 25th Hour (2001), David Benioff",25th Hour (2002),2002,0,2002,135,Drama,Drama,NA,NA,7.6,189678,David Benioff,The 25th Hour,"[""David Benioff""]",3.81,6311,NA,NA,NA,NA,NA,NA,NA,"Dec 19, 2002",4500000,13084595,25344490,2001,1,4.632108888888889,FALSE,FALSE
"A Good Year (2004), Peter Mayle",A Good Year (2006),2006,0,2006,117,"Comedy,Drama,Romance",Comedy,Drama,Romance,6.9,105534,Peter Mayle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nov 10, 2006",35000000,7459300,42064105,2004,2,0.20183157142857142,TRUE,FALSE
"A History of Violence (1997), John Wagner",A History of Violence (2005),2005,0,2005,96,"Action,Crime,Drama",Action,Crime,Drama,7.4,268085,John Wagner,A History of Violence,"[""John Wagner""]",3.5,2812,NA,NA,NA,NA,NA,NA,NA,"Sep 23, 2005",32000000,31493782,61477797,1997,8,0.92118115625,TRUE,FALSE
"A Midnight Clear (1982), William Wharton",A Midnight Clear (1992),1992,0,1992,108,"Drama,War",Drama,War,NA,7.1,10364,William Wharton,A Midnight Clear,"[""William Wharton""]",4.18,1922,NA,NA,NA,NA,NA,NA,NA,"Apr 24, 1992",5000000,1526697,1526697,1982,10,-0.6946606,TRUE,FALSE
"A Passage to India (1924), E. M. Forster",A Passage to India (1984),1984,0,1984,164,"Adventure,Drama,History",Adventure,Drama,History,7.3,22586,E. M. Forster,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dec 14, 1984",27500000,27187653,32998925,1924,60,0.19996090909090908,TRUE,FALSE
"A Scanner Darkly (1977), Philip K. Dick",A Scanner Darkly (2006),2006,0,2006,100,"Animation,Comedy,Crime",Animation,Comedy,Crime,7,120760,Philip K. Dick,A Scanner Darkly,"[""Philip K. Dick""]",4.02,102973,NA,NA,NA,NA,NA,NA,NA,"Jul 7, 2006",20000000,5501616,7405084,1977,29,-0.6297458,TRUE,FALSE
"A Simple Plan (1993), Scott Smith",A Simple Plan (1998),1998,0,1998,121,"Crime,Drama,Thriller",Crime,Drama,Thriller,7.5,80922,Scott Smith,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dec 11, 1998",17000000,16316273,16316273,1993,5,-0.040219235294117646,TRUE,FALSE
"A Time to Kill (1989), John Grisham",A Time to Kill (1996),1996,0,1996,149,"Crime,Drama,Thriller",Crime,Drama,Thriller,7.5,194465,John Grisham,A Time to Kill,"[""John Grisham""]",4.11,804202,NA,NA,NA,NA,NA,NA,NA,"Jul 24, 1996",40000000,108766007,152266007,1989,7,2.806650175,TRUE,FALSE
