"","rank","release_group","worldwide","domestic","percent","foreign","percent_2","year"
"1",1,"Star Wars: Episode IV - A New Hope","$307,263,857","$307,263,857","100%","-","-",1977
"2",2,"Smokey and the Bandit","$126,748,082","$126,737,428","100%","$87","<0.1%",1977
"3",3,"Close Encounters of the Third Kind","$116,396,241","$116,395,460","100%","-","-",1977
"4",4,"Saturday Night Fever","$94,214,336","$94,213,184","100%","-","-",1977
"5",5,"A Bridge Too Far","$50,750,000","$50,750,000","100%","-","-",1977
"6",6,"The Deep","$47,346,365","$47,346,365","100%","-","-",1977
"7",7,"The Spy Who Loved Me","$46,839,295","$46,838,673","100%","-","-",1977
"8",8,"Oh, God!","$41,687,243","$41,687,243","100%","-","-",1977
"9",9,"Annie Hall","$38,252,415","$38,251,425","100%","-","-",1977
"10",10,"Semi-Tough","$37,187,139","$37,187,139","100%","-","-",1977
"11",11,"Pete's Dragon","$35,488,000","$35,488,000","100%","-","-",1977
"12",12,"Heroes","$33,500,000","$33,500,000","100%","-","-",1977
"13",13,"High Anxiety","$31,063,038","$31,063,038","100%","-","-",1977
"14",14,"Exorcist II: The Heretic","$30,749,142","$30,749,142","100%","-","-",1977
"15",15,"The Rescuers","$29,000,120","$29,000,000","100%","-","-",1977
"16",16,"Slap Shot","$28,000,000","$28,000,000","100%","-","-",1977
"17",17,"Herbie Goes to Monte Carlo","$28,000,000","$28,000,000","100%","-","-",1977
"18",18,"The Gauntlet","$26,414,658","$26,414,658","100%","-","-",1977
"19",19,"The Turning Point","$25,933,445","$25,933,445","100%","-","-",1977
"20",20,"Freaky Friday","$25,642,000","$25,642,000","100%","-","-",1977
"21",21,"The Other Side of Midnight","$24,652,021","$24,652,021","100%","-","-",1977
"22",22,"Looking for Mr. Goodbar","$22,513,493","$22,512,655","100%","-","-",1977
"23",23,"Julia","$20,714,400","$20,714,400","100%","-","-",1977
"24",24,"The Bad News Bears in Breaking Training","$19,104,350","$19,104,350","100%","-","-",1977
"25",25,"For the Love of Benji","$17,732,000","$17,732,000","100%","-","-",1977
"26",26,"New York, New York","$16,400,658","$16,400,000","100%","-","-",1977
"27",27,"Black Sunday","$15,769,322","$15,769,322","100%","-","-",1977
"28",28,"Orca","$14,717,854","$14,717,854","100%","-","-",1977
"29",29,"Bobby Deerfield","$9,300,000","$9,300,000","100%","-","-",1977
"30",30,"Islands in the Stream","$5,596,173","$5,596,173","100%","-","-",1977
"31",31,"Race for Your Life, Charlie Brown","$3,223,888","$3,223,888","100%","-","-",1977
"32",32,"March or Die","$1,000,000","$1,000,000","100%","-","-",1977
"33",33,"Joseph Andrews","$839,865","$839,865","100%","-","-",1977
"34",34,"Citizens Band","$815,530","$815,530","100%","-","-",1977
"35",35,"Fraternity Row","$290,674","$290,674","100%","-","-",1977
"36",36,"Sorcerer","$3,556","-","-","-","-",1977
"37",37,"The Many Adventures of Winnie the Pooh","$2,100","-","-","-","-",1977
"38",38,"1900","$420","-","-","-","-",1977
"39",39,"The Last Wave","$280","-","-","-","-",1977
"40",40,"The American Friend","$27","-","-","-","-",1977
"41",1,"Grease","$159,996,021","$159,978,870","100%","$1,179","<0.1%",1978
"42",2,"Superman","$134,220,479","$134,218,018","100%","$2,461","<0.1%",1978
"43",3,"National Lampoon's Animal House","$120,098,342","$120,091,123","100%","$7,219","<0.1%",1978
"44",4,"Every Which Way But Loose","$85,196,485","$85,196,485","100%","-","-",1978
"45",5,"Heaven Can Wait","$81,640,278","$81,640,278","100%","-","-",1978
"46",6,"Hooper","$78,000,000","$78,000,000","100%","-","-",1978
"47",7,"Jaws 2","$77,737,272","$77,737,272","100%","-","-",1978
"48",8,"Revenge of the Pink Panther","$49,579,269","$49,579,269","100%","-","-",1978
"49",9,"The Deer Hunter","$48,994,659","$48,979,328","100%","$12,498","<0.1%",1978
"50",10,"Halloween","$47,001,351","$47,000,000","100%","$438","<0.1%",1978
"51",11,"Foul Play","$44,999,621","$44,999,621","100%","-","-",1978
"52",12,"The End","$44,917,151","$44,917,151","100%","-","-",1978
"53",13,"Up in Smoke","$44,364,244","$44,364,244","100%","-","-",1978
"54",14,"Midnight Express","$35,000,000","$35,000,000","100%","-","-",1978
"55",15,"Coming Home","$32,653,905","$32,653,905","100%","-","-",1978
"56",16,"The Lord of the Rings","$30,474,857","$30,471,420","100%","-","-",1978
"57",17,"House Calls","$28,460,702","$28,460,702","100%","-","-",1978
"58",18,"Damien: Omen II","$26,518,355","$26,518,355","100%","-","-",1978
"59",19,"Invasion of the Body Snatchers","$24,947,762","$24,946,533","100%","-","-",1978
"60",20,"Convoy","$22,765,081","$22,765,081","100%","-","-",1978
"61",21,"The Wiz","$21,049,225","$21,049,053","100%","-","-",1978
"62",22,"F.I.S.T.","$20,388,920","$20,388,920","100%","-","-",1978
"63",23,"Sgt. Pepper's Lonely Hearts Club Band","$20,378,470","$20,378,470","100%","-","-",1978
"64",24,"Eyes of Laura Mars","$20,000,077","$20,000,000","100%","$77","<0.1%",1978
"65",25,"The One and Only","$16,928,137","$16,928,137","100%","-","-",1978
"66",26,"Return from Witch Mountain","$16,393,000","$16,393,000","100%","-","-",1978
"67",27,"Corvette Summer","$15,514,367","$15,514,367","100%","-","-",1978
"68",28,"The Greek Tycoon","$14,672,713","$14,672,713","100%","-","-",1978
"69",29,"Death on the Nile","$14,560,084","$14,560,084","100%","-","-",1978
"70",30,"The Buddy Holly Story","$14,363,400","$14,363,400","100%","-","-",1978
"71",31,"The Big Fix","$13,062,708","$13,062,708","100%","-","-",1978
"72",32,"The Other Side of the Mountain: Part II","$11,565,678","$11,565,678","100%","-","-",1978
"73",33,"Moment by Moment","$10,963,824","$10,963,824","100%","-","-",1978
"74",34,"Interiors","$10,432,366","$10,432,366","100%","-","-",1978
"75",35,"Straight Time","$9,900,000","$9,900,000","100%","-","-",1978
"76",36,"Comes a Horseman","$9,585,769","$9,585,769","100%","-","-",1978
"77",37,"American Hot Wax","$7,932,571","$7,932,571","100%","-","-",1978
"78",38,"The Brink's Job","$7,909,950","$7,909,950","100%","-","-",1978
"79",39,"Goin' South","$7,435,671","$7,435,671","100%","-","-",1978
"80",40,"King of the Gypsies","$7,325,177","$7,325,177","100%","-","-",1978
"81",41,"Force 10 from Navarone","$7,230,000","$7,230,000","100%","-","-",1978
"82",42,"Paradise Alley","$7,185,518","$7,185,518","100%","-","-",1978
"83",43,"The Bad News Bears Go to Japan","$7,092,495","$7,092,495","100%","-","-",1978
"84",44,"International Velvet","$7,009,238","$7,009,238","100%","-","-",1978
"85",45,"Blue Collar","$6,521,083","$6,521,083","100%","-","-",1978
"86",46,"Pretty Baby","$5,786,368","$5,786,368","100%","-","-",1978
"87",47,"Gray Lady Down","$5,438,927","$5,438,927","100%","-","-",1978
"88",48,"Brass Target","$5,011,158","$5,011,158","100%","-","-",1978
"89",49,"Caravans","$3,930,501","$3,930,501","100%","-","-",1978
"90",50,"Days of Heaven","$3,452,278","$3,446,749","99.8%","-","-",1978
"91",51,"Our Winning Season","$1,997,705","$1,997,705","100%","-","-",1978
"92",52,"I Wanna Hold Your Hand","$1,944,682","$1,944,682","100%","-","-",1978
"93",53,"Skateboard","$1,318,823","$1,318,823","100%","-","-",1978
"94",54,"Uncle Joe Shannon","$494,797","$494,797","100%","-","-",1978
"95",55,"Nunzio","$52,195","$52,195","100%","-","-",1978
"96",56,"The Last Waltz","$15,349","-","-","-","-",1978
"97",1,"Kramer vs. Kramer","$106,260,000","$106,260,000","100%","-","-",1979
"98",2,"The Amityville Horror","$86,432,000","$86,432,000","100%","-","-",1979
"99",3,"Rocky II","$85,182,160","$85,182,160","100%","-","-",1979
"100",4,"Star Trek: The Motion Picture","$82,258,612","$82,258,456","100%","-","-",1979
"101",5,"Alien","$78,999,751","$78,944,891","99.9%","$54,860","<0.1%",1979
"102",6,"Apocalypse Now","$78,995,695","$78,784,010","99.7%","$211,685","0.3%",1979
"103",7,"10","$74,865,517","$74,865,517","100%","-","-",1979
"104",8,"The Jerk","$73,691,419","$73,691,419","100%","-","-",1979
"105",9,"Moonraker","$70,308,533","$70,308,099","100%","-","-",1979
"106",10,"The Muppet Movie","$65,850,687","$65,847,930","100%","-","-",1979
"107",11,"The Electric Horseman","$61,801,971","$61,801,971","100%","-","-",1979
"108",12,"The China Syndrome","$51,718,367","$51,718,367","100%","-","-",1979
"109",13,"Meatballs","$43,046,003","$43,046,003","100%","-","-",1979
"110",14,"Escape from Alcatraz","$43,000,000","$43,000,000","100%","-","-",1979
"111",15,"The Main Event","$42,800,000","$42,800,000","100%","-","-",1979
"112",16,"Manhattan","$39,946,780","$39,946,780","100%","-","-",1979
"113",17,"All That Jazz","$37,825,158","$37,823,676","100%","-","-",1979
"114",18,"The Black Stallion","$37,799,643","$37,799,643","100%","-","-",1979
"115",19,"The Black Hole","$35,841,901","$35,841,901","100%","-","-",1979
"116",20,"Starting Over","$35,649,012","$35,649,012","100%","-","-",1979
"117",21,"And Justice for All","$33,300,000","$33,300,000","100%","-","-",1979
"118",22,"1941","$31,755,742","$31,755,742","100%","-","-",1979
"119",23,"The Champ","$30,441,738","$30,441,738","100%","-","-",1979
"120",24,"Being There","$30,178,926","$30,177,511","100%","$93","<0.1%",1979
"121",25,"The Rose","$29,174,648","$29,174,648","100%","-","-",1979
"122",26,"Going in Style","$26,869,286","$26,869,286","100%","-","-",1979
"123",27,"North Dallas Forty","$26,079,312","$26,079,312","100%","-","-",1979
"124",28,"The Warriors","$22,495,052","$22,490,039","100%","$4,616","<0.1%",1979
"125",29,"Norma Rae","$22,228,000","$22,228,000","100%","-","-",1979
"126",30,"Buck Rogers in the 25th Century","$21,671,241","$21,671,241","100%","-","-",1979
"127",31,"National Lampoon's Animal House 1979 Re-release","$21,508,877","$21,508,877","100%","-","-",1979
"128",32,"The Apple Dumpling Gang Rides Again","$20,931,111","$20,931,111","100%","-","-",1979
"129",33,"La Cage aux Folles","$20,424,259","$20,424,259","100%","-","-",1979
"130",34,"Dracula","$20,158,970","$20,158,970","100%","-","-",1979
"131",35,"When a Stranger Calls","$20,149,106","$20,149,106","100%","-","-",1979
"132",36,"Same Time, Next Year","$19,703,082","$19,703,082","100%","-","-",1979
"133",37,"The Seduction of Joe Tynan","$19,595,168","$19,595,168","100%","-","-",1979
"134",38,"Monty Python's Life of Brian","$19,428,017","$19,398,164","99.8%","$26,174","0.1%",1979
"135",39,"One Hundred and One Dalmatians 1979 Re-release","$19,000,000","$19,000,000","100%","-","-",1979
"136",40,"Prophecy","$18,389,402","$18,389,402","100%","-","-",1979
"137",41,"Breaking Away","$16,424,918","$16,424,918","100%","-","-",1979
"138",42,"Hair","$15,285,248","$15,284,643","100%","-","-",1979
"139",43,"More American Graffiti","$15,014,674","$15,014,674","100%","-","-",1979
"140",44,"Roller Boogie","$13,253,715","$13,253,715","100%","-","-",1979
"141",45,"The Great Train Robbery","$13,027,857","$13,027,857","100%","-","-",1979
