"X1","X2"
"The 25th Hour (2001), David Benioff","25th Hour (2002)"
"3 Assassins (グラスホッパー, Gurasuhoppā) (2004), Kōtarō Isaka","Grasshopper (2015)"
"4.50 from Paddington (1957), Agatha Christie","Murder, She Said (1961)"
"4.50 from Paddington (1957), Agatha Christie","Crime Is Our Business (French: Le Crime est notre affaire) (2008)"
"58 Minutes (1987), Walter Wager","Die Hard 2 (1990)"
"69 (シクスティナイン, Shikusutinain) (1987), Ryu Murakami","69 (2004)"
"The A.B.C. Murders (1936), Agatha Christie","The Alphabet Murders (1966)"
"À ton image (1998), Louise L. Lambrichs","À ton image (2004)"
"About a Boy (1998), Nick Hornby","About a Boy (2002)"
"About Schmidt (1996), Louis Begley","About Schmidt (2002)"
"Absolute Power (1996), David Baldacci","Absolute Power (1997)"
"The Accidental Tourist (1985), Anne Tyler","The Accidental Tourist (1988)"
"Across 110th (1970), Wally Ferris","Across 110th Street (1972)"
"Adam Resurrected (Hebrew: אדם בן כלב) (1969), Yoram Kaniuk","Adam Resurrected (2009)"
"Adams Fall (2000), Sean Desmond","Abandon (2002)"
"Addie Pray (1971), Joe David Brown","Paper Moon (1973)"
"Adiliya by the River (1999), Jin Renshun","Green Tea (2003)"
"Adolphe (1816), Benjamin Constant","Adolphe (2002)"
"Adventure (1911), Jack London","Adventure (1925)"
"The Adventurers (1966), Harold Robbins","The Adventurers (1970)"
"The Adventures of Captain Alatriste (Spanish: Las aventuras del capitán Alatriste) (1996–present) (series), Arturo Pérez-Reverte","Alatriste (2006)"
"The Adventures of Captain Hatteras (French: Voyages et aventures du capitaine Hatteras) (1866), Jules Verne","The Conquest of the Pole (French: Conquête du pôle) (1912)"
"The Adventures of Hajji Baba of Ispahan (1824), James Justinian Morier","The Adventures of Hajji Baba (1954)"
"Adventures of Huckleberry Finn (1884), Mark Twain","Huckleberry Finn (1920)"
"Adventures of Huckleberry Finn (1884), Mark Twain","Huckleberry Finn (1931)"
"Adventures of Huckleberry Finn (1884), Mark Twain","Huck Finn (1937)"
"Adventures of Huckleberry Finn (1884), Mark Twain","The Adventures of Huckleberry Finn (1939)"
"Adventures of Huckleberry Finn (1884), Mark Twain","The Adventures of Huckleberry Finn (1955)[N 1]"
"Adventures of Huckleberry Finn (1884), Mark Twain","The Adventures of Huckleberry Finn (1960)"
"Adventures of Huckleberry Finn (1884), Mark Twain","Huckleberry Finn (1974)"
"Adventures of Huckleberry Finn (1884), Mark Twain","Hopelessly Lost (1972)"
"Adventures of Huckleberry Finn (1884), Mark Twain","Huckleberry Finn (1975)[N 1]"
"Adventures of Huckleberry Finn (1884), Mark Twain","The Adventures of Huckleberry Finn (1981)[N 1]"
"Adventures of Huckleberry Finn (1884), Mark Twain","Adventures of Huckleberry Finn (1985)"
"Adventures of Huckleberry Finn (1884), Mark Twain","The Adventures of Huck Finn (1993)"
"Adventures of Huckleberry Finn (1884), Mark Twain","Tom and Huck (1995)"
"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi","The Adventures of Pinocchio (1911)"
"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi","The Adventures of Pinocchio (1936)[N 2]"
"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi","Pinocchio (1940)"
"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi","The Adventures of Pinocchio (Italian: Le avventure di Pinocchio (1947)"
"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi","Pinocchio (1957)[N 1]"
"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi","Pinocchio in Outer Space (1965)"
"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi","Pinocchio (German: Turlis Abenteuer) (1967)"
"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi","Pinocchio (1968)[N 1]"
"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi","The Adventures of Pinocchio (Italian: Un burattino di nome Pinocchio) (1972)"
"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi","Pinocchio (1976)[N 1]"
"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi","Pinocchio's Christmas (1980)[N 1]"
"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi","The Adventures of Pinocchio (1984)"
"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi","Pinocchio and the Emperor of the Night (1987)"
"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi","Pinocchio (1993)"
