...1,Book,Movie,movie_titleWiki,movie_year,movie_match,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,movie_title,BookTitle,BookAuthor,BookMatch,name,author,star_rating,num_ratings
1,"The 25th Hour (2001), David Benioff",25th Hour (2002),25th Hour,2002,"25th Hour,2002",tt0307901,movie,25th Hour,25th Hour,0,2002,\N,135,Drama,7.6,189678,25th Hour,The 25th Hour,David Benioff,"The 25th Hour,David Benioff",The 25th Hour,"[""David Benioff""]",3.81,6311
2,"3 Assassins (グラスホッパー, Gurasuhoppā) (2004), Kōtarō Isaka",Grasshopper (2015),Grasshopper,2015,"Grasshopper,2015",tt3846972,movie,Grasshopper,Gurasuhoppâ,0,2015,\N,119,"Action,Crime,Drama",5.5,395,Gurasuhoppâ,3 Assassins,Kōtarō Isaka,"3 Assassins,Kōtarō Isaka",NA,NA,NA,NA
3,"4.50 from Paddington (1957), Agatha Christie","Murder, She Said (1961)","Murder, She Said",1961,"Murder, She Said,1961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.50 from Paddington,Agatha Christie,"4.50 from Paddington,Agatha Christie",NA,NA,NA,NA
4,"4.50 from Paddington (1957), Agatha Christie",Crime Is Our Business (French: Le Crime est notre affaire) (2008),Crime Is Our Business,2008,"Crime Is Our Business,2008",tt1206478,movie,Crime Is Our Business,Le crime est notre affaire,0,2008,\N,109,"Comedy,Crime,Mystery",6,1258,Le crime est notre affaire,4.50 from Paddington,Agatha Christie,"4.50 from Paddington,Agatha Christie",NA,NA,NA,NA
5,"58 Minutes (1987), Walter Wager",Die Hard 2 (1990),Die Hard 2,1990,"Die Hard 2,1990",tt0099423,movie,Die Hard 2,Die Hard 2,0,1990,\N,124,"Action,Thriller",7.2,400429,Die Hard 2,58 Minutes,Walter Wager,"58 Minutes,Walter Wager",58 Minutes,"[""Walter Wager""]",3.56,433
6,"69 (シクスティナイン, Shikusutinain) (1987), Ryu Murakami",69 (2004),69,2004,"69,2004",tt0408470,movie,69,69,0,2004,\N,114,"Comedy,Drama",6.7,517,69,69,Ryu Murakami,"69,Ryu Murakami",NA,NA,NA,NA
7,"The A.B.C. Murders (1936), Agatha Christie",The Alphabet Murders (1966),The Alphabet Murders,1966,"The Alphabet Murders,1966",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The A.B.C. Murders,Agatha Christie,"The A.B.C. Murders,Agatha Christie",The A.B.C. Murders,"[""Agatha Christie""]",4.03,170021
8,"À ton image (1998), Louise L. Lambrichs",À ton image (2004),À ton image,2004,"À ton image,2004",tt0307343,movie,À ton image,À ton image,0,2004,\N,94,"Drama,Sci-Fi,Thriller",4.7,639,À ton image,À ton image,Louise L. Lambrichs,"À ton image,Louise L. Lambrichs",À ton image,"[""Louise L. Lambrichs""]",2.33,6
9,"About a Boy (1998), Nick Hornby",About a Boy (2002),About a Boy,2002,"About a Boy,2002",tt0276751,movie,About a Boy,About a Boy,0,2002,\N,101,"Comedy,Drama,Romance",7.1,197660,About a Boy,About a Boy,Nick Hornby,"About a Boy,Nick Hornby",NA,NA,NA,NA
10,"About Schmidt (1996), Louis Begley",About Schmidt (2002),About Schmidt,2002,"About Schmidt,2002",tt0257360,movie,About Schmidt,About Schmidt,0,2002,\N,125,Drama,7.2,136932,About Schmidt,About Schmidt,Louis Begley,"About Schmidt,Louis Begley",About Schmidt,"[""Louis Begley""]",3.22,853
11,"Absolute Power (1996), David Baldacci",Absolute Power (1997),Absolute Power,1997,"Absolute Power,1997",tt0118548,movie,Absolute Power,Absolute Power,0,1997,\N,121,"Action,Crime,Drama",6.7,63742,Absolute Power,Absolute Power,David Baldacci,"Absolute Power,David Baldacci",Absolute Power,"[""David Baldacci""]",4.2,107165
