...1.x,Book,Movie,wikiMovieTitle,wikiMovieYear,wikiMovieMatch,tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,movie_title,wikiBookTitle,wikiBookAuthor,wikiBookMatch,goodreadsentrytitle,goodreadsentryauthor,goodreads_rating,goodreads_numratings,wmrank,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,...1.y,x,release_date,movie,production_budget,domestic_gross,worldwide_gross,source_offset,movie_match
1,"The 25th Hour (2001), David Benioff",25th Hour (2002),25th Hour,2002,"25th Hour,2002",tt0307901,25th Hour,25th Hour,0,2002,135,Drama,7.6,189678,25th Hour,The 25th Hour,David Benioff,"The 25th Hour,David Benioff",The 25th Hour,"[""David Benioff""]",3.81,6311,NA,NA,NA,NA,NA,NA,NA,5190,5190,"Dec 19, 2002",25th Hour,4500000,13084595,"$25,344,490",5101,"25th Hour,2002"
2,"3 Assassins (グラスホッパー, Gurasuhoppā) (2004), Kōtarō Isaka",Grasshopper (2015),Grasshopper,2015,"Grasshopper,2015",tt3846972,Grasshopper,Gurasuhoppâ,0,2015,119,"Action,Crime,Drama",5.5,395,Gurasuhoppâ,3 Assassins,Kōtarō Isaka,"3 Assassins,Kōtarō Isaka",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"4.50 from Paddington (1957), Agatha Christie","Murder, She Said (1961)","Murder, She Said",1961,"Murder, She Said,1961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.50 from Paddington,Agatha Christie,"4.50 from Paddington,Agatha Christie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"4.50 from Paddington (1957), Agatha Christie",Crime Is Our Business (French: Le Crime est notre affaire) (2008),Crime Is Our Business,2008,"Crime Is Our Business,2008",tt1206478,Crime Is Our Business,Le crime est notre affaire,0,2008,109,"Comedy,Crime,Mystery",6,1258,Le crime est notre affaire,4.50 from Paddington,Agatha Christie,"4.50 from Paddington,Agatha Christie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"58 Minutes (1987), Walter Wager",Die Hard 2 (1990),Die Hard 2,1990,"Die Hard 2,1990",tt0099423,Die Hard 2,Die Hard 2,0,1990,124,"Action,Thriller",7.2,400429,Die Hard 2,58 Minutes,Walter Wager,"58 Minutes,Walter Wager",58 Minutes,"[""Walter Wager""]",3.56,433,770,"$240,031,274","$117,540,947",49%,"$122,490,327",51%,1990,897,897,"Jul 3, 1990",Die Hard 2,70000000,117323878,"$239,813,888",801,"Die Hard 2,1990"
6,"69 (シクスティナイン, Shikusutinain) (1987), Ryu Murakami",69 (2004),69,2004,"692,004",tt0408470,69,69,0,2004,114,"Comedy,Drama",6.7,517,69,69,Ryu Murakami,"69,Ryu Murakami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"The A.B.C. Murders (1936), Agatha Christie",The Alphabet Murders (1966),The Alphabet Murders,1966,"The Alphabet Murders,1966",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The A.B.C. Murders,Agatha Christie,"The A.B.C. Murders,Agatha Christie",The A.B.C. Murders,"[""Agatha Christie""]",4.03,170021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"À ton image (1998), Louise L. Lambrichs",À ton image (2004),À ton image,2004,"À ton image,2004",tt0307343,À ton image,À ton image,0,2004,94,"Drama,Sci-Fi,Thriller",4.7,639,À ton image,À ton image,Louise L. Lambrichs,"À ton image,Louise L. Lambrichs",À ton image,"[""Louise L. Lambrichs""]",2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"About a Boy (1998), Nick Hornby",About a Boy (2002),About a Boy,2002,"About a Boy,2002",tt0276751,About a Boy,About a Boy,0,2002,101,"Comedy,Drama,Romance",7.1,197660,About a Boy,About a Boy,Nick Hornby,"About a Boy,Nick Hornby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2483,2483,"May 17, 2002",About a Boy,27000000,40803000,"$130,759,651",2401,"About a Boy,2002"
10,"About Schmidt (1996), Louis Begley",About Schmidt (2002),About Schmidt,2002,"About Schmidt,2002",tt0257360,About Schmidt,About Schmidt,0,2002,125,Drama,7.2,136932,About Schmidt,About Schmidt,Louis Begley,"About Schmidt,Louis Begley",About Schmidt,"[""Louis Begley""]",3.22,853,NA,NA,NA,NA,NA,NA,NA,2217,2217,"Dec 13, 2002",About Schmidt,30000000,65005217,"$107,054,484",2201,"About Schmidt,2002"
11,"Absolute Power (1996), David Baldacci",Absolute Power (1997),Absolute Power,1997,"Absolute Power,1997",tt0118548,Absolute Power,Absolute Power,0,1997,121,"Action,Crime,Drama",6.7,63742,Absolute Power,Absolute Power,David Baldacci,"Absolute Power,David Baldacci",Absolute Power,"[""David Baldacci""]",4.2,107165,NA,NA,NA,NA,NA,NA,NA,1383,1383,"Feb 14, 1997",Absolute Power,50000000,50068310,"$50,068,310",1301,"Absolute Power,1997"
12,"The Accidental Tourist (1985), Anne Tyler",The Accidental Tourist (1988),The Accidental Tourist,1988,"The Accidental Tourist,1988",tt0094606,The Accidental Tourist,The Accidental Tourist,0,1988,121,"Comedy,Drama,Romance",6.7,18172,The Accidental Tourist,The Accidental Tourist,Anne Tyler,"The Accidental Tourist,Anne Tyler",The Accidental Tourist,"[""Anne Tyler""]",3.9,105252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"Across 110th (1970), Wally Ferris",Across 110th Street (1972),Across 110th Street,1972,"Across 110th Street,1972",tt0068168,Across 110th Street,Across 110th Street,0,1972,102,"Action,Crime,Drama",7,8106,Across 110th Street,Across 110th,Wally Ferris,"Across 110th,Wally Ferris",Across 110th,"[""Wally Ferris""]",2.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"Adam Resurrected (Hebrew: אדם בן כלב) (1969), Yoram Kaniuk",Adam Resurrected (2009),Adam Resurrected,2009,"Adam Resurrected,2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adam Resurrected,Yoram Kaniuk,"Adam Resurrected,Yoram Kaniuk",Adam Resurrected,"[""Yoram Kaniuk""]",3.56,219,NA,NA,NA,NA,NA,NA,NA,4367,4367,"Sep 22, 2009",Adam Resurrected,10000000,0,"$90,909",4301,"Adam Resurrected,2009"
15,"Adams Fall (2000), Sean Desmond",Abandon (2002),Abandon,2002,"Abandon,2002",tt0267248,Abandon,Abandon,0,2002,99,"Drama,Mystery,Romance",4.8,10383,Abandon,Adams Fall,Sean Desmond,"Adams Fall,Sean Desmond",Adams Fall,"[""Sean Desmond""]",3.24,111,NA,NA,NA,NA,NA,NA,NA,2693,2693,"Oct 18, 2002",Abandon,25000000,10719367,"$12,219,367",2601,"Abandon,2002"
