movie_match,...1.x,Book,Movie,wikiMovieTitle,wikiMovieYear,wikiMovieMatch,tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,genre_1,genre_2,genre_3,averageRating,numVotes,movie_title,wikiBookTitle,wikiBookAuthor,wikiBookMatch,goodreadsentrytitle,goodreadsentryauthor,goodreads_rating,goodreads_numratings,wmrank,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,...1.y,x,release_date,movie,production_budget,domestic_gross,worldwide_gross,source_offset,book_year_str,book_year,book_movie_years,ROI
"102 Dalmatians,2000",1682,"The Hundred and One Dalmatians (1956), Dodie Smith",102 Dalmatians (2000),102 Dalmatians,2000,"102 Dalmatians,2000",tt0211181,102 Dalmatians,102 Dalmatians,0,2000,100,"Adventure,Comedy,Family",Adventure,Comedy,Family,4.9,41244,102 Dalmatians,The Hundred and One Dalmatians,Dodie Smith,"The Hundred and One Dalmatians,Dodie Smith",NA,NA,4.12,37187,NA,NA,NA,NA,NA,NA,NA,670,670,"Nov 22, 2000",102 Dalmatians,85000000,66941559,66941559,601,1956,1956,44,-0.21245224705882354
"20,000 Leagues Under the Sea,1916",3325,"Twenty Thousand Leagues Under the Seas (French: Vingt mille lieues sous les mers) (1870), Jules Verne","20,000 Leagues Under the Sea (1916)","20,000 Leagues Under the Sea",1916,"20,000 Leagues Under the Sea,1916",tt0006333,"20,000 Leagues Under the Sea","20,000 Leagues Under the Sea",0,1916,105,"Action,Adventure,Sci-Fi",Action,Adventure,Sci-Fi,6.1,2178,"20,000 Leagues Under the Sea",Twenty Thousand Leagues Under the Seas,Jules Verne,"Twenty Thousand Leagues Under the Seas,Jules Verne",NA,NA,3.89,255762,NA,NA,NA,NA,NA,NA,NA,6542,6542,"Dec 24, 1916","20,000 Leagues Under the Sea",200000,8000000,8000000,6501,1870,1870,46,39
"20,000 Leagues Under the Sea,1954",3326,"Twenty Thousand Leagues Under the Seas (French: Vingt mille lieues sous les mers) (1870), Jules Verne","20,000 Leagues Under the Sea (1954)","20,000 Leagues Under the Sea",1954,"20,000 Leagues Under the Sea,1954",tt0046672,"20,000 Leagues Under the Sea","20,000 Leagues Under the Sea",0,1954,127,"Adventure,Drama,Family",Adventure,Drama,Family,7.2,39590,"20,000 Leagues Under the Sea",Twenty Thousand Leagues Under the Seas,Jules Verne,"Twenty Thousand Leagues Under the Seas,Jules Verne",NA,NA,3.89,255762,NA,NA,NA,NA,NA,NA,NA,5000,5000,"Dec 23, 1954","20,000 Leagues Under the Sea",5000000,28200000,28200000,4901,1870,1870,84,4.64
"25th Hour,2002",1,"The 25th Hour (2001), David Benioff",25th Hour (2002),25th Hour,2002,"25th Hour,2002",tt0307901,25th Hour,25th Hour,0,2002,135,Drama,Drama,NA,NA,7.6,189678,25th Hour,The 25th Hour,David Benioff,"The 25th Hour,David Benioff",The 25th Hour,"[""David Benioff""]",3.81,6311,NA,NA,NA,NA,NA,NA,NA,5190,5190,"Dec 19, 2002",25th Hour,4500000,13084595,25344490,5101,2001,2001,1,4.632108888888889
"A Good Year,2006",1432,"A Good Year (2004), Peter Mayle",A Good Year (2006),A Good Year,2006,"A Good Year,2006",tt0401445,A Good Year,A Good Year,0,2006,117,"Comedy,Drama,Romance",Comedy,Drama,Romance,6.9,105534,A Good Year,A Good Year,Peter Mayle,"A Good Year,Peter Mayle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2071,2071,"Nov 10, 2006",A Good Year,35000000,7459300,42064105,2001,2004,2004,2,0.20183157142857142
"A History of Violence,2005",1583,"A History of Violence (1997), John Wagner",A History of Violence (2005),A History of Violence,2005,"A History of Violence,2005",tt0399146,A History of Violence,A History of Violence,0,2005,96,"Action,Crime,Drama",Action,Crime,Drama,7.4,268085,A History of Violence,A History of Violence,John Wagner,"A History of Violence,John Wagner",A History of Violence,"[""John Wagner""]",3.5,2812,NA,NA,NA,NA,NA,NA,NA,2148,2148,"Sep 23, 2005",A History of Violence,32000000,31493782,61477797,2101,1997,1997,8,0.92118115625
"A Midnight Clear,1992",2194,"A Midnight Clear (1982), William Wharton",A Midnight Clear (1992),A Midnight Clear,1992,"A Midnight Clear,1992",tt0102443,A Midnight Clear,A Midnight Clear,0,1992,108,"Drama,War",Drama,War,NA,7.1,10364,A Midnight Clear,A Midnight Clear,William Wharton,"A Midnight Clear,William Wharton",A Midnight Clear,"[""William Wharton""]",4.18,1922,NA,NA,NA,NA,NA,NA,NA,5098,5098,"Apr 24, 1992",A Midnight Clear,5000000,1526697,1526697,5001,1982,1982,10,-0.6946606
"A Passage to India,1984",2490,"A Passage to India (1924), E. M. Forster",A Passage to India (1984),A Passage to India,1984,"A Passage to India,1984",tt0087892,A Passage to India,A Passage to India,0,1984,164,"Adventure,Drama,History",Adventure,Drama,History,7.3,22586,A Passage to India,A Passage to India,E. M. Forster,"A Passage to India,E. M. Forster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2470,2470,"Dec 14, 1984",A Passage to India,27500000,27187653,32998925,2401,1924,1924,60,0.19996090909090908
"A Scanner Darkly,2006",2831,"A Scanner Darkly (1977), Philip K. Dick",A Scanner Darkly (2006),A Scanner Darkly,2006,"A Scanner Darkly,2006",tt0405296,A Scanner Darkly,A Scanner Darkly,0,2006,100,"Animation,Comedy,Crime",Animation,Comedy,Crime,7,120760,A Scanner Darkly,A Scanner Darkly,Philip K. Dick,"A Scanner Darkly,Philip K. Dick",A Scanner Darkly,"[""Philip K. Dick""]",4.02,102973,NA,NA,NA,NA,NA,NA,NA,3125,3125,"Jul 7, 2006",A Scanner Darkly,20000000,5501616,7405084,3101,1977,1977,29,-0.6297458
"A Simple Plan,1998",2932,"A Simple Plan (1993), Scott Smith",A Simple Plan (1998),A Simple Plan,1998,"A Simple Plan,1998",tt0120324,A Simple Plan,A Simple Plan,0,1998,121,"Crime,Drama,Thriller",Crime,Drama,Thriller,7.5,80922,A Simple Plan,A Simple Plan,Scott Smith,"A Simple Plan,Scott Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3383,3383,"Dec 11, 1998",A Simple Plan,17000000,16316273,16316273,3301,1993,1993,5,-0.040219235294117646
