...1.x,Book,Movie,wikiMovieTitle,wikiMovieYear,wikiMovieMatch,tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,movie_title,wikiBookTitle,wikiBookAuthor,wikiBookMatch,goodreadsentrytitle,goodreadsentryauthor,goodreads_rating,goodreads_numratings,...1.y,x,release_date,movie,production_budget,domestic_gross,worldwide_gross,source_offset,movie_match
1,"The 25th Hour (2001), David Benioff",25th Hour (2002),25th Hour,2002,"25th Hour,2002",tt0307901,25th Hour,25th Hour,0,2002,135,Drama,7.6,189678,25th Hour,The 25th Hour,David Benioff,"The 25th Hour,David Benioff",The 25th Hour,"[""David Benioff""]",3.81,6311,5190,5190,"Dec 19, 2002",25th Hour,4500000,13084595,"$25,344,490",5101,"25th Hour,2002"
5,"58 Minutes (1987), Walter Wager",Die Hard 2 (1990),Die Hard 2,1990,"Die Hard 2,1990",tt0099423,Die Hard 2,Die Hard 2,0,1990,124,"Action,Thriller",7.2,400429,Die Hard 2,58 Minutes,Walter Wager,"58 Minutes,Walter Wager",58 Minutes,"[""Walter Wager""]",3.56,433,897,897,"Jul 3, 1990",Die Hard 2,70000000,117323878,"$239,813,888",801,"Die Hard 2,1990"
10,"About Schmidt (1996), Louis Begley",About Schmidt (2002),About Schmidt,2002,"About Schmidt,2002",tt0257360,About Schmidt,About Schmidt,0,2002,125,Drama,7.2,136932,About Schmidt,About Schmidt,Louis Begley,"About Schmidt,Louis Begley",About Schmidt,"[""Louis Begley""]",3.22,853,2217,2217,"Dec 13, 2002",About Schmidt,30000000,65005217,"$107,054,484",2201,"About Schmidt,2002"
11,"Absolute Power (1996), David Baldacci",Absolute Power (1997),Absolute Power,1997,"Absolute Power,1997",tt0118548,Absolute Power,Absolute Power,0,1997,121,"Action,Crime,Drama",6.7,63742,Absolute Power,Absolute Power,David Baldacci,"Absolute Power,David Baldacci",Absolute Power,"[""David Baldacci""]",4.2,107165,1383,1383,"Feb 14, 1997",Absolute Power,50000000,50068310,"$50,068,310",1301,"Absolute Power,1997"
15,"Adams Fall (2000), Sean Desmond",Abandon (2002),Abandon,2002,"Abandon,2002",tt0267248,Abandon,Abandon,0,2002,99,"Drama,Mystery,Romance",4.8,10383,Abandon,Adams Fall,Sean Desmond,"Adams Fall,Sean Desmond",Adams Fall,"[""Sean Desmond""]",3.24,111,2693,2693,"Oct 18, 2002",Abandon,25000000,10719367,"$12,219,367",2601,"Abandon,2002"
94,"After (2017), Anna Todd",After (2019),After,2019,"After,2019",tt4126476,After,After,0,2019,105,"Drama,Romance",5.3,73516,After,After,Anna Todd,"After,Anna Todd",After,"[""Anna Todd""]",3.71,335184,3750,3750,"Apr 12, 2019",After,14000000,12138565,"$57,926,850",3701,"After,2019"
101,"The Age of Innocence (1921), Edith Wharton",The Age of Innocence (1993),The Age of Innocence,1993,"The Age of Innocence,1993",tt0106226,The Age of Innocence,The Age of Innocence,0,1993,139,"Drama,Romance",7.2,72640,The Age of Innocence,The Age of Innocence,Edith Wharton,"The Age of Innocence,Edith Wharton",The Age of Innocence,"[""Edith Wharton""]",3.97,176710,2099,2099,"Sep 17, 1993",The Age of Innocence,34000000,32014993,"$32,021,688",2001,"The Age of Innocence,1993"
126,"All the Pretty Horses (1992), Cormac McCarthy",All the Pretty Horses (2000),All the Pretty Horses,2000,"All the Pretty Horses,2000",tt0149624,All the Pretty Horses,All the Pretty Horses,0,2000,116,"Drama,Romance,Western",5.8,16188,All the Pretty Horses,All the Pretty Horses,Cormac McCarthy,"All the Pretty Horses,Cormac McCarthy",All the Pretty Horses,"[""Cormac McCarthy""]",4.04,126351,1590,1590,"Dec 22, 2000",All the Pretty Horses,45000000,15527125,"$18,120,267",1501,"All the Pretty Horses,2000"
128,"All You Need Is Kill (2009), Hiroshi Sakurazaka",Edge of Tomorrow (2014),Edge of Tomorrow,2014,"Edge of Tomorrow,2014",tt1631867,Edge of Tomorrow,Edge of Tomorrow,0,2014,113,"Action,Adventure,Sci-Fi",7.9,787040,Edge of Tomorrow,All You Need Is Kill,Hiroshi Sakurazaka,"All You Need Is Kill,Hiroshi Sakurazaka",All You Need Is Kill,"[""Hiroshi Sakurazaka""]",4.03,22047,159,159,"May 28, 2014",Edge of Tomorrow,178000000,100206256,"$367,028,980",101,"Edge of Tomorrow,2014"
132,"Along Came a Spider (1993), James Patterson",Along Came a Spider (2001),Along Came a Spider,2001,"Along Came a Spider,2001",tt0164334,Along Came a Spider,Along Came a Spider,0,2001,104,"Crime,Drama,Mystery",6.4,101474,Along Came a Spider,Along Came a Spider,James Patterson,"Along Came a Spider,James Patterson",Along Came a Spider,"[""James Patterson""]",4.13,461048,2417,2417,"Apr 6, 2001",Along Came a Spider,28000000,74058698,"$105,159,085",2401,"Along Came a Spider,2001"
141,"American Psycho (1991), Bret Easton Ellis",American Psycho (2000),American Psycho,2000,"American Psycho,2000",tt0144084,American Psycho,American Psycho,0,2000,102,"Crime,Drama,Horror",7.6,802924,American Psycho,American Psycho,Bret Easton Ellis,"American Psycho,Bret Easton Ellis",American Psycho,"[""Bret Easton Ellis""]",3.81,318731,4550,4550,"Apr 14, 2000",American Psycho,8000000,15070285,"$34,270,285",4501,"American Psycho,2000"
151,"The Amityville Horror (1977), Jay Anson",The Amityville Horror (2005),The Amityville Horror,2005,"The Amityville Horror,2005",tt0384806,The Amityville Horror,The Amityville Horror,0,2005,90,Horror,5.9,121449,The Amityville Horror,The Amityville Horror,Jay Anson,"The Amityville Horror,Jay Anson",The Amityville Horror,"[""Jay Anson""]",3.83,131270,3226,3226,"Apr 15, 2005",The Amityville Horror,18500000,65233369,"$109,175,673",3201,"The Amityville Horror,2005"
165,"And Then There Were None (1939), Agatha Christie",Identity (2003),Identity,2003,"Identity,2003",tt0309698,Identity,Identity,0,2003,90,"Mystery,Thriller",7.3,285291,Identity,And Then There Were None,Agatha Christie,"And Then There Were None,Agatha Christie",And Then There Were None,"[""Agatha Christie""]",4.28,1380887,2432,2432,"Apr 25, 2003",Identity,28000000,52131264,"$82,119,036",2401,"Identity,2003"
168,"The Andromeda Strain (1969), Michael Crichton",The Andromeda Strain (1971),The Andromeda Strain,1971,"The Andromeda Strain,1971",tt0066769,The Andromeda Strain,The Andromeda Strain,0,1971,131,"Mystery,Sci-Fi,Thriller",7.2,43008,The Andromeda Strain,The Andromeda Strain,Michael Crichton,"The Andromeda Strain,Michael Crichton",The Andromeda Strain,"[""Michael Crichton""]",3.91,257411,4782,4782,"Jan 1, 1971",The Andromeda Strain,6500000,12376563,"$12,376,647",4701,"The Andromeda Strain,1971"
183,"Anna and the King of Siam (1944), Margaret Landon",Anna and the King (1999),Anna and the King,1999,"Anna and the King,1999",tt0166485,Anna and the King,Anna and the King,0,1999,148,"Drama,History,Romance",6.7,40035,Anna and the King,Anna and the King of Siam,Margaret Landon,"Anna and the King of Siam,Margaret Landon",Anna and the King of Siam,"[""Margaret Landon""]",3.79,2915,847,847,"Dec 17, 1999",Anna and the King,75000000,39251128,"$39,251,128",801,"Anna and the King,1999"
195,"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy",Anna Karenina (2012),Anna Karenina,2012,"Anna Karenina,2012",tt1781769,Anna Karenina,Anna Karenina,0,2012,129,"Drama,Romance",6.6,110918,Anna Karenina,Anna Karenina,Leo Tolstoy,"Anna Karenina,Leo Tolstoy",Anna Karenina,"[""Leo Tolstoy""]",4.09,857124,1475,1475,"Sep 7, 2012",Anna Karenina,49000000,12816367,"$71,004,627",1401,"Anna Karenina,2012"
195,"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy",Anna Karenina (2012),Anna Karenina,2012,"Anna Karenina,2012",tt1781769,Anna Karenina,Anna Karenina,0,2012,129,"Drama,Romance",6.6,110918,Anna Karenina,Anna Karenina,Leo Tolstoy,"Anna Karenina,Leo Tolstoy",Anna Karenina,"[""Leo Tolstoy""]",4.09,857124,1475,1475,"Sep 7, 2012",Anna Karenina,49000000,12816367,"$71,004,627",1401,"Anna Karenina,2012"
207,"Annihilation (2014), Jeff VanderMeer",Annihilation (2018),Annihilation,2018,"Annihilation,2018",tt2798920,Annihilation,Annihilation,0,2018,115,"Adventure,Drama,Horror",6.8,386016,Annihilation,Annihilation,Jeff VanderMeer,"Annihilation,Jeff VanderMeer",Annihilation,"[""Jeff VanderMeer""]",3.77,237532,1270,1270,"Feb 23, 2018",Annihilation,55000000,32732301,"$43,070,915",1201,"Annihilation,2018"
225,"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne",Around the World in 80 Days (1956),Around the World in 80 Days,1956,"Around the World in 80 Days,1956",tt0048960,Around the World in 80 Days,Around the World in Eighty Days,0,1956,175,"Adventure,Comedy,Family",6.7,31312,Around the World in Eighty Days,Around the World in Eighty Days,Jules Verne,"Around the World in Eighty Days,Jules Verne",Around the World in Eighty Days,"[""Jules Verne""]",3.94,250686,4820,4820,"Oct 17, 1956",Around the World in 80 Days,6000000,42000000,"$42,000,000",4801,"Around the World in 80 Days,1956"
