"","Movie","rank","release_group","worldwide","domestic","percent","foreign","percent_2","year","...1","Book","book_year","movie_year","time_diff"
"1","101 Dalmatians",6,"101 Dalmatians",136189294,136189294,"100%","-","-",1996,1681,"The Hundred and One Dalmatians (1956), Dodie Smith",1956,1996,40
"2","102 Dalmatians",22,"102 Dalmatians",183611771,66957026,"36.5%","$116,654,745","63.5%",2000,1682,"The Hundred and One Dalmatians (1956), Dodie Smith",1956,2000,44
"3","1984",87,"1984",8431544,8430492,"100%","-","-",1984,2375,"Nineteen Eighty-Four (1949), George Orwell",1949,1956,7
"4","1984",87,"1984",8431544,8430492,"100%","-","-",1984,2377,"Nineteen Eighty-Four (1949), George Orwell",1949,2023,74
"5","25th Hour",130,"25th Hour",23928503,13084595,"54.7%","$10,843,908","45.3%",2002,1,"The 25th Hour (2001), David Benioff",2001,2002,1
"6","9½ Weeks",93,"9½ Weeks",6735922,6735922,"100%","-","-",1986,2371,"Nine and a Half Weeks: A Memoir of a Love Affair (1978), Elizabeth McNeill",1978,1986,8
"7","A Good Year",118,"A Good Year",42269923,7459300,"17.6%","$34,810,623","82.4%",2006,1432,"A Good Year (2004), Peter Mayle",2004,2006,2
"8","A History of Violence",83,"A History of Violence",61385065,31504633,"51.3%","$29,880,432","48.7%",2005,1583,"A History of Violence (1997), John Wagner",1997,2005,8
"9","A Kid in King Arthur's Court",102,"A Kid in King Arthur's Court",13406717,13406717,"100%","-","-",1995,684,"A Connecticut Yankee in King Arthur's Court (1889), Mark Twain",1889,1995,106
"10","A Midnight Clear",160,"A Midnight Clear",1526697,1526697,"100%","-","-",1992,2194,"A Midnight Clear (1982), William Wharton",1982,1992,10
"11","A Passage to India",26,"A Passage to India",32992271,27187653,"82.4%","$5,804,618","17.6%",1984,2490,"A Passage to India (1924), E. M. Forster",1924,1984,60
"12","A Room with a View",41,"A Room with a View",24535910,20966644,"85.5%","$3,551,465","14.5%",1986,2791,"A Room with a View (1908), E. M. Forster",1908,2007,99
"13","A Room with a View",41,"A Room with a View",24535910,20966644,"85.5%","$3,551,465","14.5%",1986,2790,"A Room with a View (1908), E. M. Forster",1908,1985,77
"14","A Simple Plan",102,"A Simple Plan",16316273,16316273,"100%","-","-",1998,2932,"A Simple Plan (1993), Scott Smith",1993,1998,5
"15","A Soldier's Daughter Never Cries",192,"A Soldier's Daughter Never Cries",1782005,1782005,"100%","-","-",1998,2957,"A Soldier's Daughter Never Cries (1990),[2]Kaylie Jones",1990,1998,8
"16","A Stranger Is Watching",109,"A Stranger Is Watching",2519559,2519559,"100%","-","-",1982,3029,"A Stranger Is Watching (1977), Mary Higgins Clark",1977,1982,5
"17","A Time to Kill",10,"A Time to Kill",108766007,108766007,"100%","-","-",1996,3258,"A Time to Kill (1989), John Grisham",1989,1996,7
"18","A Walk to Remember",90,"A Walk to Remember",47494916,41281092,"86.9%","$6,213,824","13.1%",2002,3426,"A Walk to Remember (1999), Nicholas Sparks",1999,2002,3
"19","A Wrinkle in Time",57,"A Wrinkle in Time",132675864,100478608,"75.7%","$32,197,256","24.3%",2018,3620,"A Wrinkle in Time (1962), Madeleine L'Engle",1962,2003,41
"20","A Wrinkle in Time",57,"A Wrinkle in Time",132675864,100478608,"75.7%","$32,197,256","24.3%",2018,3621,"A Wrinkle in Time (1962), Madeleine L'Engle",1962,2018,56
"21","Abandon",188,"Abandon",12302219,10727683,"87.2%","$1,574,536","12.8%",2002,15,"Adams Fall (2000), Sean Desmond",2000,2002,2
"22","About a Boy",34,"About a Boy",130549455,41385278,"31.7%","$89,164,177","68.3%",2002,9,"About a Boy (1998), Nick Hornby",1998,2002,4
"23","About Schmidt",48,"About Schmidt",105834556,65016287,"61.4%","$40,818,269","38.6%",2002,10,"About Schmidt (1996), Louis Begley",1996,2002,6
"24","Absolute Power",42,"Absolute Power",50068310,50068310,"100%","-","-",1997,11,"Absolute Power (1996), David Baldacci",1996,1997,1
"25","After",95,"After",69497587,12138565,"17.5%","$57,359,022","82.5%",2019,94,"After (2017), Anna Todd",2017,2019,2
"26","After Dark, My Sweet",141,"After Dark, My Sweet",2678414,2678414,"100%","-","-",1990,95,"After Dark, My Sweet (1955), Jim Thompson",1955,1990,35
"27","After Hours",80,"After Hours",10612760,10609321,"100%","-","-",1985,3314,"The Trial (1925), Franz Kafka",1925,1985,60
"28","All of Us Strangers",140,"All of Us Strangers",20226058,4050103,"20%","$16,175,955","80%",2023,3031,"Strangers (異人たちとの夏, Ijintachi to no natsu) (1987), Taichi Yamada",1987,2023,36
"29","All the Pretty Horses",121,"All the Pretty Horses",18133495,15540353,"85.7%","$2,593,142","14.3%",2000,126,"All the Pretty Horses (1992), Cormac McCarthy",1992,2000,8
"30","Allan Quatermain and the Lost City of Gold",125,"Allan Quatermain and the Lost City of Gold",3751699,3751699,"100%","-","-",1987,1893,"King Solomon's Mines (1885), Sir H. Rider Haggard",1885,1986,101
"31","Allan Quatermain and the Lost City of Gold",125,"Allan Quatermain and the Lost City of Gold",3751699,3751699,"100%","-","-",1987,112,"Allan Quatermain (1887), Sir H. Rider Haggard",1887,1987,100
"32","Along Came a Spider",39,"Along Came a Spider",105178561,74078174,"70.4%","$31,100,387","29.6%",2001,132,"Along Came a Spider (1993), James Patterson",1993,2001,8
"33","Altered States",34,"Altered States",19853898,19853892,"100%","$6","<0.1%",1980,133,"Altered States (1978), Paddy Chayefsky",1978,1980,2
"34","American Psycho",95,"American Psycho",34266564,15070285,"44%","$19,196,279","56%",2000,141,"American Psycho (1991), Bret Easton Ellis",1991,2000,9
"35","Amityville II: The Possession",61,"Amityville II: The Possession",12534817,12534817,"100%","-","-",1982,2301,"Murder in Amityville (1979), Hans Holzer",1979,1982,3
"36","Angel",59,"Angel",17488564,17488564,"100%","-","-",1984,169,"Angel (1957), Elizabeth Taylor",1957,2007,50
"37","Angel Heart",67,"Angel Heart",17185632,17185632,"100%","-","-",1987,1149,"Falling Angel (1978), William Hjortsberg",1978,1987,9
"38","Angels & Demons",9,"Angels & Demons",485930816,133375846,"27.4%","$352,554,970","72.6%",2009,176,"Angels & Demons (2000), Dan Brown",2000,2009,9
"39","Anna and the King",35,"Anna and the King",113996937,39263420,"34.4%","$74,733,517","65.6%",1999,183,"Anna and the King of Siam (1944), Margaret Landon",1944,1999,55
"40","Anna Karenina",95,"Anna Karenina",68929150,12816367,"18.6%","$56,112,783","81.4%",2012,187,"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy",1873,1935,62
"41","Anna Karenina",95,"Anna Karenina",68929150,12816367,"18.6%","$56,112,783","81.4%",2012,194,"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy",1873,2005,132
"42","Anna Karenina",95,"Anna Karenina",68929150,12816367,"18.6%","$56,112,783","81.4%",2012,190,"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy",1873,1967,94
"43","Anna Karenina",95,"Anna Karenina",68929150,12816367,"18.6%","$56,112,783","81.4%",2012,191,"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy",1873,1974,101
"44","Anna Karenina",95,"Anna Karenina",68929150,12816367,"18.6%","$56,112,783","81.4%",2012,192,"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy",1873,1985,112
"45","Anna Karenina",95,"Anna Karenina",68929150,12816367,"18.6%","$56,112,783","81.4%",2012,193,"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy",1873,1997,124
"46","Anna Karenina",95,"Anna Karenina",68929150,12816367,"18.6%","$56,112,783","81.4%",2012,195,"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy",1873,2012,139
"47","Anna Karenina",95,"Anna Karenina",68929150,12816367,"18.6%","$56,112,783","81.4%",2012,185,"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy",1873,1915,42
"48","Anna Karenina",95,"Anna Karenina",68929150,12816367,"18.6%","$56,112,783","81.4%",2012,188,"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy",1873,1948,75
"49","Anna Karenina",95,"Anna Karenina",68929150,12816367,"18.6%","$56,112,783","81.4%",2012,184,"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy",1873,1914,41
"50","Anna Karenina",194,"Anna Karenina",858553,858553,"100%","-","-",1997,187,"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy",1873,1935,62
"51","Anna Karenina",194,"Anna Karenina",858553,858553,"100%","-","-",1997,194,"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy",1873,2005,132
"52","Anna Karenina",194,"Anna Karenina",858553,858553,"100%","-","-",1997,190,"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy",1873,1967,94
"53","Anna Karenina",194,"Anna Karenina",858553,858553,"100%","-","-",1997,191,"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy",1873,1974,101
"54","Anna Karenina",194,"Anna Karenina",858553,858553,"100%","-","-",1997,192,"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy",1873,1985,112
"55","Anna Karenina",194,"Anna Karenina",858553,858553,"100%","-","-",1997,193,"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy",1873,1997,124
"56","Anna Karenina",194,"Anna Karenina",858553,858553,"100%","-","-",1997,195,"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy",1873,2012,139
